brand,category,categories,title,description,asin,model_number,upc,initial_price,final_price,buybox_price,number_of_sellers,specifications
Netgear,Networking,"[""Electronics"",""Networking"",""Routers"",""WiFi Router""]","Netgear Nighthawk RS700S WiFi 7 Router","Premium WiFi 7 router for high-speed homes and gaming networks.","NETRS700S01","RS700S-100NAS","890123450076",699.99,749.99,719.99,14,"[{""key"":""Wireless Standard"",""value"":""WiFi 7""},{""key"":""Speed"",""value"":""Up to 19Gbps""},{""key"":""Coverage"",""value"":""3500 sq ft""},{""key"":""Security"",""value"":""Netgear Armor""}]"
Apple,Tablet,"[""Electronics"",""Computers"",""Tablets"",""Tablet""]","Apple iPad Air M3 11-inch","Powerful lightweight tablet with Apple Silicon and support for accessories.","APPAIRM3001","MUWC3","890123450077",599.99,649.99,619.99,22,"[{""key"":""Display"",""value"":""11-inch Liquid Retina""},{""key"":""Processor"",""value"":""Apple M3 Chip""},{""key"":""Storage"",""value"":""128GB""},{""key"":""Camera"",""value"":""12MP Wide Camera""}]"
NVIDIA,GPU,"[""Electronics"",""Components"",""Graphics Cards"",""GPU""]","NVIDIA GeForce RTX 5080 Founders Edition","Next-generation high-performance graphics card designed for enthusiast 4K gaming and AI workloads.","NVID5080001","RTX5080-FE-16G","890123450078",999.99,1199.99,1099.99,26,"[{""key"":""VRAM"",""value"":""16GB GDDR7""},{""key"":""CUDA Cores"",""value"":""10752""},{""key"":""Memory Interface"",""value"":""256-bit""},{""key"":""Interface"",""value"":""PCIe 5.0""},{""key"":""Power Connector"",""value"":""12V-2x6""}]"
NVIDIA,GPU,"[""Electronics"",""Components"",""Graphics Cards"",""GPU""]","NVIDIA GeForce RTX 5070 Ti","High-performance GPU targeting premium 1440p and 4K gaming systems.","NVID5070TI01","RTX5070TI-16G","890123450079",749.99,899.99,829.99,21,"[{""key"":""VRAM"",""value"":""16GB GDDR7""},{""key"":""CUDA Cores"",""value"":""8960""},{""key"":""Ray Tracing"",""value"":""Advanced RT Cores""},{""key"":""AI Features"",""value"":""DLSS 4 Support""}]"
AMD,GPU,"[""Electronics"",""Components"",""Graphics Cards"",""GPU""]","AMD Radeon RX 9070 XT","High-end AMD graphics card built for 4K gaming and advanced rendering workloads.","AMDRX9070XT01","RX-9070XT-16G","890123450080",699.99,799.99,749.99,19,"[{""key"":""VRAM"",""value"":""16GB GDDR6""},{""key"":""Architecture"",""value"":""RDNA 4""},{""key"":""Memory Bus"",""value"":""256-bit""},{""key"":""Interface"",""value"":""PCIe 5.0""}]"
HP,Gaming Laptop,"[""Electronics"",""Computers"",""Laptops"",""Gaming Laptop""]","HP Omen Transcend 16","Premium gaming laptop with OLED display and high-performance components.","HPOMEN16001","16-u1000","890123450081",1899.99,2099.99,1999.99,14,"[{""key"":""CPU"",""value"":""Intel Core Ultra 9 185H""},{""key"":""GPU"",""value"":""NVIDIA RTX 4070 Laptop GPU""},{""key"":""RAM"",""value"":""32GB DDR5""},{""key"":""Storage"",""value"":""2TB SSD""},{""key"":""Display"",""value"":""16-inch OLED 240Hz""}]"
Razer,Gaming Laptop,"[""Electronics"",""Computers"",""Laptops"",""Gaming Laptop""]","Razer Blade 16 2025","Premium aluminum gaming laptop combining portability with flagship performance.","RAZBLADE1601","RZ09-0530","890123450082",2699.99,2999.99,2849.99,10,"[{""key"":""CPU"",""value"":""Intel Core Ultra 9 275HX""},{""key"":""GPU"",""value"":""NVIDIA RTX 5080 Laptop GPU""},{""key"":""RAM"",""value"":""64GB DDR5""},{""key"":""Storage"",""value"":""2TB SSD""},{""key"":""Display"",""value"":""16-inch Mini LED 240Hz""}]"
Alienware,Gaming Laptop,"[""Electronics"",""Computers"",""Laptops"",""Gaming Laptop""]","Alienware Area-51 Laptop","Extreme gaming notebook designed for maximum performance and thermal capacity.","ALI51LAP001","AWM51-2025","890123450083",2999.99,3399.99,3199.99,9,"[{""key"":""CPU"",""value"":""Intel Core Ultra 9 285HX""},{""key"":""GPU"",""value"":""NVIDIA RTX 5090 Laptop GPU""},{""key"":""RAM"",""value"":""64GB DDR5""},{""key"":""Storage"",""value"":""4TB NVMe SSD""},{""key"":""Display"",""value"":""18-inch QHD+ 240Hz""}]"
Apple,Smartwatch,"[""Electronics"",""Wearables"",""Smart Watches"",""Smartwatch""]","Apple Watch Ultra 3","Premium rugged smartwatch designed for athletes and outdoor users.","APPWU3001","A3250","890123450084",799.99,849.99,819.99,20,"[{""key"":""Display"",""value"":""49mm Retina OLED""},{""key"":""Material"",""value"":""Titanium Case""},{""key"":""GPS"",""value"":""Dual Frequency GPS""},{""key"":""Battery"",""value"":""Up to 48 Hours""}]"
Samsung,Smartwatch,"[""Electronics"",""Wearables"",""Smart Watches"",""Smartwatch""]","Samsung Galaxy Watch Ultra","Premium Android smartwatch with advanced health tracking features.","SAMWATCHU01","SM-L705","890123450085",649.99,699.99,679.99,17,"[{""key"":""Display"",""value"":""1.5-inch Super AMOLED""},{""key"":""Processor"",""value"":""Exynos W1000""},{""key"":""Battery"",""value"":""590mAh""},{""key"":""Water Resistance"",""value"":""10ATM""}]"
Sony,Headphones,"[""Electronics"",""Audio"",""Headphones"",""Wireless Headphones""]","Sony WH-1000XM6","Premium noise-cancelling wireless headphones with high-resolution audio support.","SONWHXM6001","WH1000XM6","890123450086",449.99,499.99,479.99,31,"[{""key"":""Driver"",""value"":""40mm Dynamic Driver""},{""key"":""Noise Cancellation"",""value"":""Advanced ANC Processor""},{""key"":""Battery"",""value"":""40 Hours""},{""key"":""Connectivity"",""value"":""Bluetooth 5.3""}]"
Bose,Headphones,"[""Electronics"",""Audio"",""Headphones"",""Wireless Headphones""]","Bose QuietComfort Ultra Headphones","Premium wireless headphones focused on comfort and immersive audio.","BOSEQCULTRA01","882826-0010","890123450087",429.99,479.99,449.99,24,"[{""key"":""Audio"",""value"":""Spatial Audio""},{""key"":""Noise Cancellation"",""value"":""Adaptive ANC""},{""key"":""Battery"",""value"":""24 Hours""},{""key"":""Connectivity"",""value"":""Bluetooth 5.1""}]"
AMD,CPU,"[""Electronics"",""Components"",""Processors"",""CPU""]","AMD Ryzen 9 9900X","High-performance Zen 5 desktop processor designed for gaming, streaming, and professional workloads.","AMDR9900X001","100-100001405WOF","890123450088",499.99,559.99,529.99,18,"[{""key"":""Cores"",""value"":""12""},{""key"":""Threads"",""value"":""24""},{""key"":""Architecture"",""value"":""Zen 5""},{""key"":""Boost Clock"",""value"":""5.6 GHz""},{""key"":""Cache"",""value"":""76MB Total Cache""}]"
AMD,CPU,"[""Electronics"",""Components"",""Processors"",""CPU""]","AMD Ryzen 7 9700X","Efficient high-performance processor for gaming PCs and creator systems.","AMDR9700X001","100-100001404WOF","890123450089",359.99,409.99,389.99,16,"[{""key"":""Cores"",""value"":""8""},{""key"":""Threads"",""value"":""16""},{""key"":""Architecture"",""value"":""Zen 5""},{""key"":""Boost Clock"",""value"":""5.5 GHz""},{""key"":""Socket"",""value"":""AM5""}]"
Intel,CPU,"[""Electronics"",""Components"",""Processors"",""CPU""]","Intel Core Ultra 7 265K","Modern desktop processor with AI acceleration and improved efficiency.","INTUL7265K01","BX80768265K","890123450090",399.99,449.99,429.99,15,"[{""key"":""Cores"",""value"":""20 (8P+12E)""},{""key"":""Threads"",""value"":""20""},{""key"":""AI Engine"",""value"":""Integrated NPU""},{""key"":""Socket"",""value"":""LGA1851""}]"
ASUS,Motherboard,"[""Electronics"",""Components"",""Motherboards"",""Gaming Motherboard""]","ASUS ROG Strix X870E-E Gaming WiFi","Premium AMD motherboard with PCIe 5.0 support and enthusiast features.","ASUX870EE001","ROG-STRIX-X870E-E","890123450091",499.99,569.99,539.99,13,"[{""key"":""Socket"",""value"":""AM5""},{""key"":""Chipset"",""value"":""AMD X870E""},{""key"":""Memory"",""value"":""DDR5 8000+ MHz""},{""key"":""Networking"",""value"":""WiFi 7 + 5Gb LAN""},{""key"":""Expansion"",""value"":""PCIe 5.0""}]"
MSI,Motherboard,"[""Electronics"",""Components"",""Motherboards"",""Gaming Motherboard""]","MSI MEG Z890 ACE","Flagship Intel motherboard built for extreme gaming and workstation configurations.","MSIZ890ACE01","MEG-Z890-ACE","890123450092",599.99,679.99,639.99,11,"[{""key"":""Socket"",""value"":""LGA1851""},{""key"":""Chipset"",""value"":""Intel Z890""},{""key"":""Memory"",""value"":""DDR5 8800MHz OC""},{""key"":""Networking"",""value"":""WiFi 7""}]"
Gigabyte,GPU,"[""Electronics"",""Components"",""Graphics Cards"",""GPU""]","Gigabyte AORUS GeForce RTX 5080 Master","Factory-overclocked RTX 5080 graphics card with premium cooling solution.","GIGRTX508001","GV-N5080AORUSM","890123450093",1099.99,1299.99,1199.99,20,"[{""key"":""VRAM"",""value"":""16GB GDDR7""},{""key"":""Cooling"",""value"":""WINDFORCE Triple Fan""},{""key"":""Boost Clock"",""value"":""2700 MHz""},{""key"":""Interface"",""value"":""PCIe 5.0""}]"
ASUS,GPU,"[""Electronics"",""Components"",""Graphics Cards"",""GPU""]","ASUS ROG Astral RTX 5090 OC","Ultra-premium RTX 5090 graphics card for extreme enthusiasts.","ASURTX509001","ROG-ASTRAL-5090-O24G","890123450094",2399.99,2799.99,2599.99,15,"[{""key"":""VRAM"",""value"":""32GB GDDR7""},{""key"":""Cooling"",""value"":""Quad Fan Design""},{""key"":""Boost Clock"",""value"":""2800 MHz""},{""key"":""Power"",""value"":""575W""}]"
Western Digital,Storage,"[""Electronics"",""Components"",""Storage"",""SSD""]","WD Black SN850X 4TB NVMe SSD","Large capacity gaming SSD with extreme PCIe 4.0 performance.","WDSN850X4001","WDS400T2X0E","890123450095",349.99,399.99,379.99,17,"[{""key"":""Capacity"",""value"":""4TB""},{""key"":""Interface"",""value"":""PCIe 4.0 x4""},{""key"":""Read Speed"",""value"":""7300 MB/s""},{""key"":""Cache"",""value"":""DRAM Cache""}]"
Synology,NAS,"[""Electronics"",""Storage"",""Network Storage"",""NAS""]","Synology DiskStation DS923+","Professional NAS system for home labs and small businesses.","SYDDS923001","DS923+","890123450096",599.99,699.99,649.99,9,"[{""key"":""Drive Bays"",""value"":""4 Bay""},{""key"":""Processor"",""value"":""AMD Ryzen R1600""},{""key"":""Memory"",""value"":""4GB DDR4 ECC""},{""key"":""Networking"",""value"":""1Gb Ethernet""}]"
Canon,Camera,"[""Electronics"",""Cameras"",""Digital Cameras"",""Mirrorless Camera""]","Canon EOS R6 Mark II","Professional mirrorless camera for photographers and content creators.","CANR6II001","EOS-R6M2","890123450097",2499.99,2699.99,2599.99,14,"[{""key"":""Sensor"",""value"":""24.2MP Full Frame CMOS""},{""key"":""Video"",""value"":""4K 60FPS""},{""key"":""Autofocus"",""value"":""Dual Pixel CMOS AF II""},{""key"":""Mount"",""value"":""RF Mount""}]"
Sony,Camera,"[""Electronics"",""Cameras"",""Digital Cameras"",""Mirrorless Camera""]","Sony Alpha A7 IV","Full-frame mirrorless camera designed for professional photography and hybrid video production.","SONA7IV001","ILCE7M4/B","890123450098",2499.99,2699.99,2599.99,16,"[{""key"":""Sensor"",""value"":""33MP Full Frame Exmor R CMOS""},{""key"":""Processor"",""value"":""BIONZ XR""},{""key"":""Video"",""value"":""4K 60FPS 10-bit""},{""key"":""Autofocus"",""value"":""759 Phase Detection Points""}]"
DJI,Drone,"[""Electronics"",""Cameras"",""Drones"",""Consumer Drone""]","DJI Mavic 4 Pro","Professional consumer drone with advanced obstacle avoidance and high-resolution aerial imaging.","DJIMAVIC4001","CP.MA.00000990","890123450099",2199.99,2399.99,2299.99,20,"[{""key"":""Camera"",""value"":""50MP Hasselblad Camera""},{""key"":""Video"",""value"":""8K Video Recording""},{""key"":""Flight Time"",""value"":""45 Minutes""},{""key"":""Transmission"",""value"":""O4 Video Transmission""}]"
DJI,Drone,"[""Electronics"",""Cameras"",""Drones"",""Consumer Drone""]","DJI Mini 4 Pro","Compact lightweight drone with professional imaging features.","DJIMINI4001","MT4MFVD","890123450100",759.99,899.99,829.99,24,"[{""key"":""Weight"",""value"":""Under 249g""},{""key"":""Camera"",""value"":""48MP CMOS""},{""key"":""Video"",""value"":""4K 100FPS Slow Motion""},{""key"":""Flight Time"",""value"":""34 Minutes""}]"
Alienware,Gaming Monitor,"[""Electronics"",""Displays"",""Monitors"",""Gaming Monitor""]","Alienware AW3225QF OLED Gaming Monitor","Premium curved OLED gaming display with ultra-fast response time.","ALI3225QF01","AW3225QF","890123450101",1199.99,1399.99,1299.99,12,"[{""key"":""Size"",""value"":""32-inch""},{""key"":""Panel"",""value"":""QD-OLED""},{""key"":""Resolution"",""value"":""4K UHD""},{""key"":""Refresh Rate"",""value"":""240Hz""},{""key"":""Response Time"",""value"":""0.03ms""}]"
LG,Monitor,"[""Electronics"",""Displays"",""Monitors"",""Ultrawide Monitor""]","LG UltraGear 45GS95QE OLED","Large curved OLED ultrawide gaming monitor for immersive gaming.","LG45GS95001","45GS95QE-B","890123450102",1699.99,1899.99,1799.99,10,"[{""key"":""Size"",""value"":""45-inch Ultrawide""},{""key"":""Panel"",""value"":""OLED""},{""key"":""Resolution"",""value"":""3440x1440""},{""key"":""Refresh Rate"",""value"":""240Hz""}]"
Samsung,Monitor,"[""Electronics"",""Displays"",""Monitors"",""Ultrawide Monitor""]","Samsung Odyssey OLED G9","Massive curved OLED gaming monitor designed for immersive simulation and competitive gaming.","SAMG9OLED01","G95SC","890123450103",1799.99,1999.99,1899.99,13,"[{""key"":""Size"",""value"":""49-inch Super Ultrawide""},{""key"":""Panel"",""value"":""QD-OLED""},{""key"":""Resolution"",""value"":""5120x1440""},{""key"":""Refresh Rate"",""value"":""240Hz""}]"
Razer,Keyboard,"[""Electronics"",""Accessories"",""Peripherals"",""Gaming Keyboard""]","Razer BlackWidow V4 Pro","Premium mechanical gaming keyboard with RGB lighting and programmable controls.","RAZBWV4001","RZ03-04680100","890123450104",229.99,269.99,249.99,19,"[{""key"":""Switches"",""value"":""Razer Green Mechanical""},{""key"":""Lighting"",""value"":""Chroma RGB""},{""key"":""Connectivity"",""value"":""USB Wired""},{""key"":""Features"",""value"":""Macro Keys + Media Controls""}]"
SteelSeries,Headset,"[""Electronics"",""Audio"",""Headsets"",""Gaming Headset""]","SteelSeries Arctis Nova Pro Wireless","Premium wireless gaming headset with active noise cancellation.","STEELNOVA001","61520","890123450105",349.99,399.99,379.99,22,"[{""key"":""Audio"",""value"":""Hi-Res Wireless Audio""},{""key"":""Connectivity"",""value"":""2.4GHz + Bluetooth""},{""key"":""Battery"",""value"":""Dual Battery System""},{""key"":""Noise Cancellation"",""value"":""Active ANC""}]"
Apple,Laptop,"[""Electronics"",""Computers"",""Laptops"",""Ultrabook""]","Apple MacBook Pro 14 M4 Pro","Professional laptop with Apple Silicon designed for developers and creators.","APPMBP14001","MX2H3","890123450106",1999.99,2199.99,2099.99,23,"[{""key"":""Processor"",""value"":""Apple M4 Pro Chip""},{""key"":""RAM"",""value"":""24GB Unified Memory""},{""key"":""Storage"",""value"":""512GB SSD""},{""key"":""Display"",""value"":""14.2-inch Liquid Retina XDR""}]"
Apple,Laptop,"[""Electronics"",""Computers"",""Laptops"",""Professional Laptop""]","Apple MacBook Pro 16 M4 Max","High-end professional laptop for video editing, software development, and AI workloads.","APPMBP16002","MX313","890123450107",3499.99,3799.99,3599.99,18,"[{""key"":""Processor"",""value"":""Apple M4 Max Chip""},{""key"":""GPU"",""value"":""40-core GPU""},{""key"":""RAM"",""value"":""64GB Unified Memory""},{""key"":""Storage"",""value"":""2TB SSD""},{""key"":""Display"",""value"":""16.2-inch Liquid Retina XDR""}]"
ASUS,Gaming Laptop,"[""Electronics"",""Computers"",""Laptops"",""Gaming Laptop""]","ASUS ROG Strix Scar 18 G834","Large-format flagship gaming laptop built for competitive gaming and heavy workloads.","ASUSSCAR18001","G834JY-XS98","890123450108",2499.99,2799.99,2649.99,17,"[{""key"":""CPU"",""value"":""Intel Core i9-14900HX""},{""key"":""GPU"",""value"":""NVIDIA RTX 4090 Laptop GPU""},{""key"":""RAM"",""value"":""64GB DDR5""},{""key"":""Storage"",""value"":""2TB NVMe SSD""},{""key"":""Display"",""value"":""18-inch QHD+ 240Hz""}]"
ASUS,Gaming Laptop,"[""Electronics"",""Computers"",""Laptops"",""Gaming Laptop""]","ASUS ROG Flow Z13","Convertible gaming tablet laptop with dedicated graphics and touchscreen display.","ASUSFLOWZ13001","GZ301VV","890123450109",1799.99,1999.99,1899.99,12,"[{""key"":""CPU"",""value"":""Intel Core i9-13900H""},{""key"":""GPU"",""value"":""NVIDIA RTX 4060 Laptop GPU""},{""key"":""RAM"",""value"":""16GB LPDDR5""},{""key"":""Storage"",""value"":""1TB SSD""},{""key"":""Display"",""value"":""13.4-inch Touch 165Hz""}]"
Lenovo,Business Laptop,"[""Electronics"",""Computers"",""Laptops"",""Business Laptop""]","Lenovo ThinkPad T14 Gen 5","Enterprise business laptop focused on security, durability, and productivity.","LEN T14001","21ML0001","890123450110",1399.99,1549.99,1499.99,9,"[{""key"":""CPU"",""value"":""Intel Core Ultra 7 155U""},{""key"":""RAM"",""value"":""32GB DDR5""},{""key"":""Storage"",""value"":""1TB SSD""},{""key"":""Display"",""value"":""14-inch WUXGA IPS""}]"
HP,Gaming Laptop,"[""Electronics"",""Computers"",""Laptops"",""Gaming Laptop""]","HP Victus 16 RTX 4060","Affordable gaming laptop with strong performance for mainstream gamers.","HPVICTUS1601","16-s1023dx","890123450111",1199.99,1349.99,1299.99,14,"[{""key"":""CPU"",""value"":""Intel Core i7-14650HX""},{""key"":""GPU"",""value"":""NVIDIA RTX 4060 Laptop GPU""},{""key"":""RAM"",""value"":""16GB DDR5""},{""key"":""Storage"",""value"":""1TB SSD""}]"
Acer,Gaming Laptop,"[""Electronics"",""Computers"",""Laptops"",""Gaming Laptop""]","Acer Nitro V 15","Budget gaming notebook with RTX graphics and high refresh display.","ACNITRO1501","ANV15-51","890123450112",899.99,999.99,949.99,16,"[{""key"":""CPU"",""value"":""Intel Core i7-13620H""},{""key"":""GPU"",""value"":""NVIDIA RTX 4050 Laptop GPU""},{""key"":""RAM"",""value"":""16GB DDR5""},{""key"":""Storage"",""value"":""512GB SSD""}]"
Razer,Gaming Laptop,"[""Electronics"",""Computers"",""Laptops"",""Gaming Laptop""]","Razer Blade 14","Compact premium gaming laptop with powerful AMD processor and RTX graphics.","RAZBLADE1401","RZ09-0508","890123450113",2199.99,2399.99,2299.99,8,"[{""key"":""CPU"",""value"":""AMD Ryzen 9 8945HS""},{""key"":""GPU"",""value"":""NVIDIA RTX 4070 Laptop GPU""},{""key"":""RAM"",""value"":""32GB DDR5""},{""key"":""Storage"",""value"":""1TB SSD""}]"
Samsung,Smartphone,"[""Electronics"",""Phones"",""Smartphones"",""Foldable Phone""]","Samsung Galaxy Z Fold 6","Premium foldable smartphone designed for productivity and multitasking.","SAMZFOLD6001","SM-F956B","890123450114",1899.99,2099.99,1999.99,20,"[{""key"":""Display"",""value"":""7.6-inch Foldable AMOLED""},{""key"":""Processor"",""value"":""Snapdragon 8 Gen 3""},{""key"":""RAM"",""value"":""12GB""},{""key"":""Storage"",""value"":""512GB""}]"
Samsung,Smartphone,"[""Electronics"",""Phones"",""Smartphones"",""Foldable Phone""]","Samsung Galaxy Z Flip 6","Compact foldable smartphone with flagship processor and cover display.","SAMZFLIP6001","SM-F741B","890123450115",1099.99,1199.99,1149.99,18,"[{""key"":""Display"",""value"":""6.7-inch Foldable AMOLED""},{""key"":""Processor"",""value"":""Snapdragon 8 Gen 3""},{""key"":""Storage"",""value"":""256GB""},{""key"":""Camera"",""value"":""50MP Dual Camera""}]"
Google,Smartphone,"[""Electronics"",""Phones"",""Smartphones"",""Flagship Phone""]","Google Pixel 9","AI-powered smartphone with clean Android experience and advanced photography.","GOOPIX9001","GRY0M","890123450116",799.99,899.99,849.99,15,"[{""key"":""Processor"",""value"":""Google Tensor G4""},{""key"":""Display"",""value"":""6.3-inch OLED 120Hz""},{""key"":""RAM"",""value"":""12GB""},{""key"":""Storage"",""value"":""256GB""}]"
OnePlus,Smartphone,"[""Electronics"",""Phones"",""Smartphones"",""Flagship Phone""]","OnePlus 12","Fast Android flagship with powerful charging and high-end hardware.","ONEPLUS12001","CPH2573","890123450117",799.99,899.99,849.99,17,"[{""key"":""Processor"",""value"":""Snapdragon 8 Gen 3""},{""key"":""Display"",""value"":""6.82-inch AMOLED 120Hz""},{""key"":""RAM"",""value"":""16GB""},{""key"":""Battery"",""value"":""5400mAh""}]"
Xiaomi,Smartphone,"[""Electronics"",""Phones"",""Smartphones"",""Flagship Phone""]","Xiaomi 14 Ultra","Photography-focused flagship with Leica camera technology.","XIA14ULT001","24030PN60G","890123450118",999.99,1099.99,1049.99,13,"[{""key"":""Camera"",""value"":""50MP Leica Quad Camera""},{""key"":""Processor"",""value"":""Snapdragon 8 Gen 3""},{""key"":""Storage"",""value"":""512GB""},{""key"":""Display"",""value"":""6.73-inch AMOLED""}]"
NVIDIA,GPU,"[""Electronics"",""Components"",""Graphics Cards"",""GPU""]","NVIDIA GeForce RTX 4060 Ti 16GB","Midrange GPU with additional VRAM for creative workloads and gaming.","NVID4060TI16","RTX4060TI16G","890123450119",499.99,579.99,549.99,21,"[{""key"":""VRAM"",""value"":""16GB GDDR6""},{""key"":""CUDA Cores"",""value"":""4352""},{""key"":""Memory Bus"",""value"":""128-bit""}]"
NVIDIA,GPU,"[""Electronics"",""Components"",""Graphics Cards"",""GPU""]","NVIDIA GeForce RTX 4070","High efficiency GPU for high-refresh 1440p gaming.","NVID4070001","RTX4070-12G","890123450120",599.99,699.99,649.99,24,"[{""key"":""VRAM"",""value"":""12GB GDDR6X""},{""key"":""CUDA Cores"",""value"":""5888""},{""key"":""Boost Clock"",""value"":""2475MHz""}]"
AMD,GPU,"[""Electronics"",""Components"",""Graphics Cards"",""GPU""]","AMD Radeon RX 7900 GRE","High performance AMD graphics card optimized for 1440p gaming.","AMDRX7900GRE","RX7900GRE16G","890123450121",549.99,649.99,599.99,19,"[{""key"":""VRAM"",""value"":""16GB GDDR6""},{""key"":""Architecture"",""value"":""RDNA 3""},{""key"":""Memory Bus"",""value"":""256-bit""}]"
AMD,GPU,"[""Electronics"",""Components"",""Graphics Cards"",""GPU""]","AMD Radeon RX 7800 XT","Powerful 1440p gaming graphics card with high VRAM capacity.","AMDRX7800XT02","RX7800XT-16G","890123450122",499.99,559.99,529.99,22,"[{""key"":""VRAM"",""value"":""16GB GDDR6""},{""key"":""Architecture"",""value"":""RDNA 3""},{""key"":""Compute Units"",""value"":""60""},{""key"":""Memory Bus"",""value"":""256-bit""}]"
MSI,GPU,"[""Electronics"",""Components"",""Graphics Cards"",""GPU""]","MSI Gaming X Trio RTX 4080 SUPER","Premium cooled RTX graphics card for 4K gaming enthusiasts.","MSIRTX408001","RTX4080S-16GX","890123450123",999.99,1199.99,1099.99,18,"[{""key"":""VRAM"",""value"":""16GB GDDR6X""},{""key"":""Cooling"",""value"":""Tri Frozr 3""},{""key"":""Boost Clock"",""value"":""2640MHz""},{""key"":""Power"",""value"":""320W""}]"
Gigabyte,GPU,"[""Electronics"",""Components"",""Graphics Cards"",""GPU""]","Gigabyte RTX 4070 SUPER Windforce","Efficient gaming GPU with excellent 1440p performance.","GIG4070SUP01","GV-N407SWF3","890123450124",599.99,699.99,649.99,20,"[{""key"":""VRAM"",""value"":""12GB GDDR6X""},{""key"":""Fans"",""value"":""Triple Fan""},{""key"":""Interface"",""value"":""PCIe 4.0""}]"
Corsair,RAM,"[""Electronics"",""Components"",""Memory"",""RAM""]","Corsair Dominator Titanium 64GB DDR5","Premium enthusiast memory kit designed for extreme PC builds.","CORDOM64001","CMP64GX5M2B6000","890123450125",299.99,349.99,329.99,15,"[{""key"":""Capacity"",""value"":""64GB (2x32GB)""},{""key"":""Speed"",""value"":""6000MHz""},{""key"":""Type"",""value"":""DDR5""},{""key"":""Latency"",""value"":""CL30""}]"
G.Skill,RAM,"[""Electronics"",""Components"",""Memory"",""RAM""]","G.Skill Trident Z5 RGB 32GB DDR5","High-speed gaming memory optimized for Intel and AMD platforms.","GSKTRID32001","F5-6400J3239G16","890123450126",149.99,189.99,169.99,23,"[{""key"":""Capacity"",""value"":""32GB""},{""key"":""Speed"",""value"":""6400MHz""},{""key"":""RGB"",""value"":""Yes""},{""key"":""Latency"",""value"":""CL32""}]"
Samsung,SSD,"[""Electronics"",""Components"",""Storage"",""SSD""]","Samsung 990 Pro 2TB NVMe SSD","High-performance PCIe 4.0 SSD for gaming and professional systems.","SAM990PRO02","MZ-V9P2T0","890123450127",179.99,229.99,209.99,28,"[{""key"":""Capacity"",""value"":""2TB""},{""key"":""Read Speed"",""value"":""7450MB/s""},{""key"":""Write Speed"",""value"":""6900MB/s""},{""key"":""Interface"",""value"":""PCIe 4.0""}]"
Crucial,SSD,"[""Electronics"",""Components"",""Storage"",""SSD""]","Crucial T500 2TB NVMe SSD","Fast consumer SSD designed for gaming PCs and workstations.","CRUT5002001","CT2000T500SSD8","890123450128",139.99,179.99,159.99,20,"[{""key"":""Capacity"",""value"":""2TB""},{""key"":""Interface"",""value"":""PCIe 4.0""},{""key"":""Read Speed"",""value"":""7400MB/s""}]"
Seagate,Storage,"[""Electronics"",""Components"",""Storage"",""External Drive""]","Seagate Expansion Portable 5TB","Portable external hard drive for backups and additional storage.","SEAEXP50001","STKM5000400","890123450129",119.99,149.99,139.99,26,"[{""key"":""Capacity"",""value"":""5TB""},{""key"":""Interface"",""value"":""USB 3.0""},{""key"":""Drive Type"",""value"":""Portable HDD""}]"
Western Digital,Storage,"[""Electronics"",""Components"",""Storage"",""External Drive""]","WD My Passport Ultra 4TB","Portable metal design external storage drive.","WDMP40001","WDBFTM0040","890123450130",109.99,139.99,124.99,21,"[{""key"":""Capacity"",""value"":""4TB""},{""key"":""Interface"",""value"":""USB-C""},{""key"":""Encryption"",""value"":""256-bit AES""}]"
ASUS,Monitor,"[""Electronics"",""Displays"",""Monitors"",""Gaming Monitor""]","ASUS ROG Swift PG27AQDM","OLED gaming monitor with ultra-fast response and HDR support.","ASUPG27AQ01","PG27AQDM","890123450131",999.99,1099.99,1049.99,13,"[{""key"":""Panel"",""value"":""OLED""},{""key"":""Resolution"",""value"":""1440p""},{""key"":""Refresh Rate"",""value"":""240Hz""},{""key"":""Response Time"",""value"":""0.03ms""}]"
BenQ,Monitor,"[""Electronics"",""Displays"",""Monitors"",""Professional Monitor""]","BenQ PD3225U Designer Monitor","Professional 4K monitor designed for creators and designers.","BENPD3225001","PD3225U","890123450132",1199.99,1299.99,1249.99,9,"[{""key"":""Size"",""value"":""32-inch""},{""key"":""Resolution"",""value"":""4K UHD""},{""key"":""Panel"",""value"":""IPS Black""},{""key"":""Color"",""value"":""99% DCI-P3""}]"
Apple,Accessory,"[""Electronics"",""Accessories"",""Computer Accessories"",""Keyboard""]","Apple Magic Keyboard with Touch ID","Premium wireless keyboard designed for Mac computers.","APPMAGKEY01","MXQT2","890123450133",179.99,199.99,189.99,18,"[{""key"":""Connectivity"",""value"":""Bluetooth""},{""key"":""Feature"",""value"":""Touch ID""},{""key"":""Battery"",""value"":""Rechargeable""}]"
Apple,Accessory,"[""Electronics"",""Accessories"",""Computer Accessories"",""Mouse""]","Apple Magic Mouse 3","Wireless multi-touch mouse designed for Mac users.","APPMAGMOUSE01","MLA02","890123450134",79.99,99.99,89.99,27,"[{""key"":""Connectivity"",""value"":""Bluetooth""},{""key"":""Surface"",""value"":""Multi-Touch""},{""key"":""Charging"",""value"":""USB-C""}]"
